Iteration   Cost 	bf_1 	bf_2 	bf_3 	bf_4 	bf_5 	bf_6 	bf_7 	bf_8 	bf_9 	bf_10 	bf_11 	bf_12 	depth_1 	depth_2 	depth_3 	depth_4 	depth_5 	depth_6 	depth_7 	depth_8 	depth_9 	depth_10 	depth_11 	depth_12 	depth_13 	depth_14 	depth_15 	depth_16 	depth_17
41 	2.338396895566088E7 	-0.3999999999999644 	-0.3999999999987127 	-0.400000000016999 	-0.0412241808533164 	0.40000000000459024 	0.4000000000021873 	0.40000000000045 	0.40000000000316094 	-0.4000000000004966 	-0.4000000000000796 	0.4000000000001569 	-0.4000000000034112 	-0.2000000000000166 	-0.20000000000008566 	-0.20000000000008 	0.200000000027025 	-0.18452680749253025 	0.008871143154639966 	0.12736526396993164 	-0.13429477697154646 	0.20000000000220663 	-0.27236937252435567 	0.20000000008379082 	-0.1435275024268896 	-0.11976684928600534 	-0.14424419196100768 	-0.21985206321198436 	-0.1730418714641262 	0.14120179635629193
42 	2.3506005393675633E7 	-0.40000000000010116 	-0.27680612339478183 	-0.3999999999962274 	-0.008090952441881308 	0.39999999999556635 	0.3999999999993453 	0.3999999999962174 	0.39999999996816427 	-0.39999999999887614 	-0.40000000000010605 	0.399999999999594 	-0.39999999999233715 	-0.20000000000000917 	-0.19999999999982976 	-0.199999999999524 	0.19999999999484575 	-0.20824949651204816 	0.0239374803331531 	0.1329627671088155 	-0.11793572974876321 	0.17151724309867744 	-0.20100738550492914 	0.19999999997559048 	-0.28338828751240785 	-0.16483157239143098 	-0.20982187592056745 	-0.20062423572816956 	-0.11200493576207615 	0.16379840731296957
43 	2.326154600666518E7 	-0.4000000000000322 	-0.3384030616967469 	-0.4000000000066138 	-0.024657566647598845 	0.40000000000007796 	0.4000000000007661 	0.3999999999983335 	0.3999999999856627 	-0.3999999999996873 	-0.40000000000009256 	0.3999999999998749 	-0.399999999997874 	-0.20000000000001292 	-0.19999999999995788 	-0.19999999999980198 	0.20000000001093565 	-0.19638815200228948 	0.01640431174389654 	0.13016401553937357 	-0.12611525336015492 	0.18575862155044212 	-0.2366883790146425 	0.20000000002969032 	-0.21345789496964893 	-0.1422992108387178 	-0.17703303394078732 	-0.21023814947007716 	-0.14252340361310112 	0.1525001018346307
44 	2.313747978682755E7 	-0.40000000000003766 	-0.3904715031305953 	-0.40000000001793656 	-0.0202583371645033 	0.4000000000080006 	0.4000000000020709 	0.3999999999994811 	0.40000000000969116 	-0.40000000000048375 	-0.4000000000002012 	0.40000000000001124 	-0.4000000000044106 	-0.20000000000004392 	-0.19999999999992824 	-0.19999999999952434 	0.20000000003068252 	-0.17922366226696806 	0.01844116627568336 	0.1359308532900318 	-0.13388093351881164 	0.19517826630016383 	-0.2923445788329443 	0.20000000010590052 	0.006968756951914679 	-0.10696246273590909 	-0.1964472152769361 	-0.2250464467096076 	-0.19110888328345077 	0.11808972215761454
45 	2.3284875421716888E7 	-0.40000000000009267 	-0.39354502070143516 	-0.40000000012045256 	-0.06079379693399988 	0.40000000003681596 	0.40000000000288444 	0.39999999999930813 	0.400000000033165 	-0.4000000000009667 	-0.40000000000033153 	0.3999999999997735 	-0.40000000001170044 	-0.20000000000007057 	-0.19999999999998347 	-0.19999999999969148 	0.20000000012678495 	-0.16920223778532778 	0.033042194610132566 	0.1303038245937656 	-0.13978421368484983 	0.15134492659677845 	-0.30033966564539616 	0.2000000002816566 	0.06923302855833169 	-0.09707189972699021 	-0.1975932036410573 	-0.22465425856030216 	-0.1661701465353619 	0.1030515487392954
46 	2.3131007142984003E7 	-0.4000000000000101 	-0.3889347443451752 	-0.3999999999666786 	9.39272024499168E-6 	0.3999999999935928 	0.4000000000016639 	0.39999999999956787 	0.399999999997954 	-0.4000000000002425 	-0.4000000000001361 	0.4000000000001301 	-0.4000000000007657 	-0.20000000000003074 	-0.19999999999990067 	-0.1999999999994408 	0.19999999998263143 	-0.1842343745077883 	0.011140652108458757 	0.138744367638165 	-0.1309292934357926 	0.2170949361518565 	-0.2883470354267183 	0.20000000001802232 	-0.02416337885129391 	-0.11190774424036848 	-0.19587422109487534 	-0.22524254078426043 	-0.20357825165749527 	0.12560880886677406
47 	2.3185558229369465E7 	-0.4000000000000311 	-0.3920698654607604 	-0.39999999997549973 	0.018408671789158882 	0.3999999999980532 	0.4000000000067511 	0.39999999999912517 	0.40000000000239666 	-0.4000000000011493 	-0.4000000000001804 	0.39999999999990965 	-0.40000000000429015 	-0.20000000000006518 	-0.19999999999995424 	-0.19999999999956586 	0.1999999999857477 	-0.17809831500308965 	0.00916757826429632 	0.12672414161449397 	-0.1253325326512098 	0.2197062269519278 	-0.2800569252385929 	0.18088247933173146 	0.03934887645964178 	-0.10646553507328572 	-0.197043178893676 	-0.21765788417878462 	-0.15044616415921047 	0.122477018392427
48 	2.319709032606754E7 	-0.39999999999999963 	-0.3873671837873827 	-0.3999999999622682 	-0.009190246814211956 	0.3999999999913626 	0.39999999999912034 	0.3999999999997893 	0.3999999999957323 	-0.3999999999997889 	-0.4000000000001141 	0.40000000000024055 	-0.39999999999900343 	-0.20000000000001353 	-0.19999999999987397 	-0.1999999999993784 	0.19999999998107335 	-0.18730240426013756 	0.01212718903053998 	0.14475448065000054 	-0.13372767382808393 	0.2157892907518207 	-0.2924920905207812 	0.2095587603611678 	-0.05591950650676168 	-0.11462884882390988 	-0.19528974219547496 	-0.22903486908699824 	-0.2301442954066377 	0.1271747041039475
49 	2.3124451289343346E7 	-0.40000000000001534 	-0.38971852462407164 	-0.3999999999688837 	0.004609212487473463 	0.399999999994708 	0.4000000000029358 	0.3999999999994572 	0.3999999999990647 	-0.4000000000004693 	-0.4000000000001471 	0.40000000000007496 	-0.4000000000016468 	-0.2000000000000393 	-0.19999999999991402 	-0.19999999999947207 	0.19999999998341045 	-0.18270035963161357 	0.010647383647418154 	0.13573931113224724 	-0.12953010323964695 	0.21774775885187436 	-0.286274507879687 	0.19522061984644956 	-0.00828531502355998 	-0.11054719194859775 	-0.1961664605445755 	-0.22334637663289147 	-0.190295229782924 	0.12482586124818734
50 	2.325587474839788E7 	-0.40000000000003244 	-0.3187168440136891 	-0.39999999997550706 	-0.002550874077864682 	0.399999999998905 	0.40000000001076297 	0.39999999999946534 	0.40000000000476793 	-0.40000000000113434 	-0.40000000000012953 	0.4000000000001571 	-0.4000000000069886 	-0.20000000000009127 	-0.1999999999999132 	-0.19999999999936868 	0.1999999999869669 	-0.18186908239728455 	0.02031530973133229 	0.1143133810450674 	-0.08694100667520746 	0.18611652708546303 	-0.27705461607993115 	0.1963659988818472 	0.016335780637719777 	-0.1065523445041632 	-0.18510028600081796 	-0.21586829869415095 	-0.12760734657568962 	0.14284135323079358
